Name,Latitude,Longitude
Alborz,35.9413239,50.7884216
Ardabil,38.4583983,47.9313001
Bushehr,28.8936645,51.3204877
Chaharmahal and Bakhtiari,32.0163307,50.685709
East Azarbaijan,37.9211202,46.6821517
Fars,29.299051,53.218456
Gilan Province,37.1515627,49.6389743
Golestan,37.1984436,55.070672
Hamedan,34.973321,48.6555779
Hormozgan,27.7198095,56.335807
Ilam,33.1545696,46.7576343
Isfahan,33.196733,52.504026
Kerman,29.571858,57.301047
Kermanshah,34.3789744,46.7010122
Khuzestan,31.5535141,49.0077168
Kohgiluyeh and Boyer-Ahmad,30.8143476,50.8661454
Kurdistan,35.672803,47.0124376
Lorestan,33.5372643,48.2435197
Markazi,34.5302705,49.7864561
Mazandaran,36.3159159,51.8968597
North Khorasan,37.5378855,56.9526137
Qazvin,36.0156291,49.8398161
Qom,34.7191915,51.0122844
Razavi Khorasan,35.4795009,59.0237291
Semnan,35.3843145,54.6209302
Sistan and Baluchestan,28.1292481,60.8236848
Tehran,35.5501,51.515
South Khorasan,33.129577,58.1065069
West Azarbaijan,37.7416484,45.0207638
Yazd,32.0406164,54.6657189
Zanjan,36.515854,48.4777616
